Name: Bitcoin, Symbol: BTC
Name: Ethereum, Symbol: ETH
Name: Tether USD, Symbol: USDT
Name: BNB, Symbol: BNB
Name: Solana, Symbol: SOL
Name: XRP, Symbol: XRP
Name: USDC, Symbol: USDC
Name: Cardano, Symbol: ADA
Name: Avalanche, Symbol: AVAX
Name: TRON, Symbol: TRX
Name: Dogecoin, Symbol: DOGE
Name: Wrapped liquid staked Ether 2.0, Symbol: wstETH
Name: Chainlink, Symbol: LINK
Name: Polkadot, Symbol: DOT
Name: Wrapped Ether, Symbol: WETH
Name: Uniswap, Symbol: UNI
Name: Polygon, Symbol: MATIC
Name: Wrapped BTC, Symbol: WBTC
Name: Immutable X, Symbol: IMX
Name: Internet Computer (DFINITY), Symbol: ICP
Name: Shiba Inu, Symbol: SHIB
Name: Litecoin, Symbol: LTC
Name: Bitcoin Cash, Symbol: BCH
Name: PancakeSwap, Symbol: CAKE
Name: Filecoin, Symbol: FIL
Name: Render Token, Symbol: RNDR
Name: Dai, Symbol: DAI
Name: Kaspa, Symbol: KAS
Name: Ethereum Classic, Symbol: ETC
Name: Hedera, Symbol: HBAR
Name: Cosmos, Symbol: ATOM
Name: Injective Protocol, Symbol: INJ
Name: OKB, Symbol: OKB
Name: Toncoin, Symbol: TON
Name: VeChain, Symbol: VET
Name: First Digital USD, Symbol: FDUSD
Name: Lido DAO Token, Symbol: LDO
Name: Celestia, Symbol: TIA
Name: Stellar, Symbol: XLM
Name: ARBITRUM, Symbol: ARB
Name: Stacks, Symbol: STX
Name: Monero, Symbol: XMR
Name: NEAR Protocol, Symbol: NEAR
Name: EnergySwap, Symbol: ENS
Name: WEMIX Token, Symbol: WEMIX
Name: ApeX Protocol, Symbol: APEX
Name: The Graph, Symbol: GRT
Name: Maker, Symbol: MKR
Name: WOO Network, Symbol: WOO
Name: BEAM, Symbol: BEAM
